strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	Nextstrain_clade	pangolin_lineage	GISAID_clade	originating_lab	submitting_lab	authors	url	title	paper_url	date_submitted	purpose_of_sequencing
hCoV-19/Australia/QLD0x00E53A/2022	betacoronavirus	EPI_ISL_12531773	?	2022-04-18	Oceania	Australia	Queensland		Oceania	Australia	Queensland	genome	29657	Human	unknown	unknown	?	BA.2	GRA	Pathology Queensland and Forensic Scientific Services	PHV-FSS	Son Nguyen on behalf of Q-PHIRE Genomics	https://www.gisaid.org/	?	?	2022-05-05	?
hCoV-19/Australia/SA224289/2022	betacoronavirus	EPI_ISL_12442683	?	2022-04-10	Oceania	Australia	South Australia		Oceania	Australia	South Australia	genome	29724	Human	unknown	Female	?	BA.2	GRA	SA Pathology	SA Pathology	Caitlin Selway, Lex Leong, Chuan Kok Lim, Mark Turra, Ivan Bastian	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/Australia/SA250429/2022	betacoronavirus	EPI_ISL_12442958	?	2022-04-21	Oceania	Australia	South Australia		Oceania	Australia	South Australia	genome	29743	Human	unknown	Male	?	BA.2	GRA	SA Pathology	SA Pathology	Caitlin Selway, Lex Leong, Chuan Kok Lim, Mark Turra, Ivan Bastian	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/Australia/NSW-RPAH-2985/2022	betacoronavirus	EPI_ISL_12511506	?	2022-04-16	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	28578	Human	unknown	unknown	?	Unassigned	GRA	New South Wales Health Pathology Royal Prince Alfred Hospital	Microbiology RPAH	Foster, C.; Au, J.; Ruiz Silva, M.; Deveson, I.; Bull, R.; Van Hal, S.; Rawlinson, W.	https://www.gisaid.org/	?	?	2022-05-05	?
hCoV-19/Australia/NSW-RPAH-2955/2022	betacoronavirus	EPI_ISL_12470797	?	2022-04-14	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	28578	Human	unknown	unknown	?	BA.2	GRA	New South Wales Health Pathology Royal Prince Alfred Hospital	Microbiology RPAH	Foster, C.; Au, J.; Ruiz Silva, M.; Deveson, I.; Bull, R.; Van Hal, S.; Rawlinson, W.	https://www.gisaid.org/	?	?	2022-05-03	?
hCoV-19/Australia/SA225336/2022	betacoronavirus	EPI_ISL_12442647	?	2022-04-10	Oceania	Australia	South Australia		Oceania	Australia	South Australia	genome	29735	Human	unknown	Female	?	BA.2	GRA	SA Pathology	SA Pathology	Caitlin Selway, Lex Leong, Chuan Kok Lim, Mark Turra, Ivan Bastian	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/Australia/SA236552/2022	betacoronavirus	EPI_ISL_12442768	?	2022-04-15	Oceania	Australia	South Australia		Oceania	Australia	South Australia	genome	29765	Human	unknown	Male	?	BA.2	GRA	SA Pathology	SA Pathology	Caitlin Selway, Lex Leong, Chuan Kok Lim, Mark Turra, Ivan Bastian	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/Australia/SA224689/2022	betacoronavirus	EPI_ISL_12442637	?	2022-04-10	Oceania	Australia	South Australia		Oceania	Australia	South Australia	genome	29759	Human	unknown	Female	?	BA.2	GRA	SA Pathology	SA Pathology	Caitlin Selway, Lex Leong, Chuan Kok Lim, Mark Turra, Ivan Bastian	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/Australia/SA256150/2022	betacoronavirus	EPI_ISL_12442981	?	2022-04-23	Oceania	Australia	South Australia		Oceania	Australia	South Australia	genome	29758	Human	unknown	Male	?	BA.2	GRA	SA Pathology	SA Pathology	Caitlin Selway, Lex Leong, Chuan Kok Lim, Mark Turra, Ivan Bastian	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/Australia/SA226932/2022	betacoronavirus	EPI_ISL_12442737	?	2022-04-11	Oceania	Australia	South Australia		Oceania	Australia	South Australia	genome	29724	Human	unknown	Female	?	BA.2	GRA	SA Pathology	SA Pathology	Caitlin Selway, Lex Leong, Chuan Kok Lim, Mark Turra, Ivan Bastian	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/Australia/SA248362/2022	betacoronavirus	EPI_ISL_12442900	?	2022-04-20	Oceania	Australia	South Australia		Oceania	Australia	South Australia	genome	29762	Human	unknown	Female	?	BA.2	GRA	SA Pathology	SA Pathology	Caitlin Selway, Lex Leong, Chuan Kok Lim, Mark Turra, Ivan Bastian	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/Australia/SA207023/2022	betacoronavirus	EPI_ISL_12442518	?	2022-04-05	Oceania	Australia	South Australia		Oceania	Australia	South Australia	genome	29724	Human	unknown	Female	?	BA.2	GRA	SA Pathology	SA Pathology	Caitlin Selway, Lex Leong, Chuan Kok Lim, Mark Turra, Ivan Bastian	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/Australia/QLD0x00E4C1/2022	betacoronavirus	EPI_ISL_12531874	?	2022-04-12	Oceania	Australia	Queensland		Oceania	Australia	Queensland	genome	29746	Human	unknown	unknown	?	BA.2.10	GRA	Pathology Queensland and Forensic Scientific Services	PHV-FSS	Son Nguyen on behalf of Q-PHIRE Genomics	https://www.gisaid.org/	?	?	2022-05-05	?
hCoV-19/Australia/QLD0x00E4DC/2022	betacoronavirus	EPI_ISL_12531873	?	2022-04-19	Oceania	Australia	Queensland		Oceania	Australia	Queensland	genome	29746	Human	unknown	unknown	?	BA.2.3	GRA	Pathology Queensland and Forensic Scientific Services	PHV-FSS	Son Nguyen on behalf of Q-PHIRE Genomics	https://www.gisaid.org/	?	?	2022-05-05	?
hCoV-19/Australia/QLD0x00E571/2022	betacoronavirus	EPI_ISL_12531869	?	2022-04-24	Oceania	Australia	Queensland		Oceania	Australia	Queensland	genome	29746	Human	unknown	unknown	?	BA.2.42	GRA	Pathology Queensland and Forensic Scientific Services	PHV-FSS	Son Nguyen on behalf of Q-PHIRE Genomics	https://www.gisaid.org/	?	?	2022-05-05	?
hCoV-19/Australia/QLD0x00E53F/2022	betacoronavirus	EPI_ISL_12531866	?	2022-04-20	Oceania	Australia	Queensland		Oceania	Australia	Queensland	genome	29746	Human	unknown	unknown	?	BA.2.42	GRA	Pathology Queensland and Forensic Scientific Services	PHV-FSS	Son Nguyen on behalf of Q-PHIRE Genomics	https://www.gisaid.org/	?	?	2022-05-05	?
hCoV-19/Australia/QLD0x00E53B/2022	betacoronavirus	EPI_ISL_12531863	?	2022-04-20	Oceania	Australia	Queensland		Oceania	Australia	Queensland	genome	29746	Human	unknown	unknown	?	BA.2.3	GRA	Pathology Queensland and Forensic Scientific Services	PHV-FSS	Son Nguyen on behalf of Q-PHIRE Genomics	https://www.gisaid.org/	?	?	2022-05-05	?
hCoV-19/Australia/QLD0x00E554/2022	betacoronavirus	EPI_ISL_12531861	?	2022-04-24	Oceania	Australia	Queensland		Oceania	Australia	Queensland	genome	29746	Human	unknown	unknown	?	BA.2.12.2	GRA	Pathology Queensland and Forensic Scientific Services	PHV-FSS	Son Nguyen on behalf of Q-PHIRE Genomics	https://www.gisaid.org/	?	?	2022-05-05	?
hCoV-19/Australia/QLD0x00E536/2022	betacoronavirus	EPI_ISL_12531855	?	2022-04-20	Oceania	Australia	Queensland		Oceania	Australia	Queensland	genome	29746	Human	unknown	unknown	?	BA.2.12.2	GRA	Pathology Queensland and Forensic Scientific Services	PHV-FSS	Son Nguyen on behalf of Q-PHIRE Genomics	https://www.gisaid.org/	?	?	2022-05-05	?
hCoV-19/Australia/QLD0x00E545/2022	betacoronavirus	EPI_ISL_12531842	?	2022-04-20	Oceania	Australia	Queensland		Oceania	Australia	Queensland	genome	29746	Human	unknown	unknown	?	BA.2.62	GRA	Pathology Queensland and Forensic Scientific Services	PHV-FSS	Son Nguyen on behalf of Q-PHIRE Genomics	https://www.gisaid.org/	?	?	2022-05-05	?
